observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1,dim_id_2,dimension_label_eng_2,dimension_label_cym_2,dim_item_id_2,dimension_item_label_eng_2,dimension_item_label_cym_2,is_total_2,is_sub_total_2,dim_id_3,dimension_label_eng_3,dimension_label_cym_3,dim_item_id_3,dimension_item_label_eng_3,dimension_item_label_cym_3,is_total_3,is_sub_total_3,dim_id_4,dimension_label_eng_4,dimension_label_cym_4,dim_item_id_4,dimension_item_label_eng_4,dimension_item_label_cym_4,is_total_4,is_sub_total_4,dim_id_5,dimension_label_eng_5,dimension_label_cym_5,dim_item_id_5,dimension_item_label_eng_5,dimension_item_label_cym_5,is_total_5,is_sub_total_5
1118.7976828994836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
1490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
1904.1339033908932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
2470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Jan,Jan,,,
950.1896605815515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
1450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
1853.1474215815592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
2610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Feb,Feb,,,
1142.7253405279641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Mar,Mar,,,
1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Mar,Mar,,,
2150.751539898045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Mar,Mar,,,
2660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,SA,SA,,,,Area,Area,,Expenditure,Expenditure,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Mar,Mar,,,
1443.3988253365997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type,Type,,Earnings in the UK and expenditure abroad by month,Earnings in the UK and expenditure abroad by month,,,,SA / NSA,SA / NSA,,NSA,NSA,,,,Area,Area,,,,,,,Year,Year,,2012.0,2012.0,,,,Month,Month,,Apr,Apr,,,
